CNES,NOMEFANT
2427184,HOSPITAL MUNICIPAL DR RIGOBERTO ROMERO DE BARROS
2427249,MATERNIDADE MAE LIDIA
2427281,CENTRO HOSPITALAR CAROZITA BRITO
2427419,HOSPITAL REGIONAL DO AGRESTE DR WALDEMIRO FERREIRA
2427427,HOSPITAL BARAO DE LUCENA
2427435,HOSPITAL MEMORIAL IRMA DULCE
2428369,CASA DE SAUDE SANTA EFIGENIA LTDA
2428385,HOSPITAL REGIONAL EMILIA CAMARA
2428393,HOSPITAL REGIONAL DE PALMARES DR SILVIO MAGALHAES
2428687,HOSPITAL SAO JOSE
2428784,UNIDADE MISTA FRANCISCO DE ASSIS CHATEAUBRIAND
2428881,HOSPITAL MUNICIPAL DR JOSE DANTAS FILHO
2428989,HOSPITAL SAO SEBASTIAO
2429004,APAMI DE VITORIA DE SANTO ANTAO
2429314,UNIDADE MISTA STA JOANACENTRO DE SAUDE OVIDIO MACIEL
2429438,CENTRO HOSPITALAR DR JOSE EVOIDE DE MOURA
2429543,CLIPS II
2429586,HOSPITAL SAO LUCAS
2430029,CLINICA DE FRATURAS
2430118,NEUROCARDIO
2430495,HGU HOSPITAL GERAL E URGENCIA
2430622,HOSPITAL MEMORIAL PETROLINA
2430711,HOSPITAL DOM MALAN
2431106,HOSPITAL MUNICIPAL JOSE PINTO SARAIVA
2431823,HOSPITAL E MATERNIDADE MUNICIPAL OLIMPIO M GOUVEIA LINS
2432048,HOSPITAL E MATERNIDADES PETRONILA CAMPOS
2432307,CENTRO HOSPITALAR SANTA MARIA
2432471,HOSPITAL GENEZIO FRANCISCO XAVIER
2432706,HOSPITAL E MATERNIDADE VIRGINIA COLACO DIAS
2432900,HOSPITAL E MATERNIDADE NOSSA SENHORA DE LOURDES
2433044,HOSPITAL DA MIRUEIRA SANATORIO PADRE ANTONIO MANOEL
2433494,UNIDADE MISTA LIDIA MARIA DE FRANCA
2433788,UNIDADE MISTA ANA ARGEMIRA CORREIA
2433877,HOSPITAL GERAL AMELIA GUEIROS LEITE
2435454,HOSPITAL DE PEQUENO PORTE ARGEMIRA S R BARROS
2435802,H G G DR PAULO DA VEIGA PESSOA
2436205,HOSPITAL DR JOSE CARLOS DE SANTANA
2436221,HOSPITAL DR FERNANDO DE ABREU
2436310,HOSPITAL REGIONAL JULIO ALVES DE LIRA
2436450,HOSPITAL REGIONAL HANS DIETER SCHMIDT
2436469,HOSPITAL MUNICIPAL SAO JOSE
2436477,MATERNIDADE DARCY VARGAS
2436906,HOSPITAL MUNICIPAL DE CORUMBAIBA
2436914,HOSPITAL MUNICIPAL SAULO GOMES PALMELO
2436930,HOSPITAL MUNICIPAL DE ITARUMA
2437023,HOSPITAL MUNICIPAL DE NOVA CRIXAS
2437120,HOSPITAL MUNICIPAL DE ITAUCU
2437139,HOSPITAL MUNICIPAL DE CALDAS NOVAS
2437171,HOSPITAL MUNICIPAL DR MARIA MARCIA GONZAGA
2437198,HOSPITAL MUNICIPAL DE MORRO AGUDO DE GOIAS
2437244,HOSPITAL MUNICIPAL NOSSA SENHORA DO DESTERRO
2437449,HOSPITAL MUNICIPAL DOM BOSCO
2437538,HOSPITAL MUNICIPAL DE SANTA TEREZA DE GOIAS
2437570,HOSPITAL E MAT MUNICIPAL DE ACREUNA
2437597,HOSPITAL MUNICIPAL DE CABECEIRAS
2437627,HOSPITAL MUN DOM LUIZ FERNANDES SANTO ANTONIO DO DESCOBERTO
2437643,HOSPITAL MUNICIPAL DE SANTA BARBARA
2437651,HOSPITAL MUNICIPAL MATERNO INFANTIL SANTA RITA DE CASSIA
2437678,HOSPITAL MATERNO INFANTIL FAINA
2437694,HOSPITAL MUNICIPAL ISABEL DE ARAUJO BARRETO CAMPOS VERDES
2437767,HOSPITAL MUNICIPAL ELIAS AGUIAR E SILVA
2437775,HOSPITAL MUNICIPAL JOAO VITORINO
2437783,HOSPITAL ESTADUAL DE PIRENOPOLIS ERNESTINA LOPES JAIME
2437988,HOSPITAL MUNICIPAL DE MAMBAI
2437996,HOSPITAL MUNICIPAL LUIZA DE SOUZA RAMOS
2438003,HOSPITAL MUNICIPAL DE ITAJA
2438119,HOSPITAL MUNICIPAL MARIA ABADIA LOBO SANTA CRUZ DE GOIAS
2438143,HOSPITAL NOSSA SENHORA DE FATIMA SERRANOPOLIS
2438151,UNIDADE MISTA HOSPITALAR DE SIMOLANDIA
2438178,HOSPITAL MUNICIPAL DE FAZENDA NOVA
2438291,HOSPITAL MUNICIPAL JORGE ASSAD SALLES
2438313,HOSPITAL MUNICIPAL DR EDNALDO BARBOZA MACHADO
2438410,HOSPITAL MUNICIPAL SANTA LUZIA
2438917,CMUM BOQUEIRAO
2439263,HNSG HOSPITAL PROVIDENCIA MATERNO INFANTIL
2439360,HNSG HOSPITAL DA PROVIDENCIA
2439883,HOSPITAL MUNICIPAL OSVALDO RIBEIRO DE MOURA
2441268,HOSPITAL MUNICIPAL SANTA CATARINA
2441411,CASA DE SAUDE SANTA ANA URUANA
2441446,HOSPITAL E MATERNIDADE MENINO JESUS
2441500,HOSPITAL MUNICIPAL SAO VICENTE DE PAULA
2441675,MATERNIDADE DR ADALBERTO PEREIRA DA SILVA ANAPOLIS
2441683,INSTITUTO DE CARDIOLOGIA ANAPOLISGO
2441705,HOSPITAL SAO DOMINGOS GOIANESIA
2441799,HOSPITAL DE GOIANDIRA
2441829,HOSPITAL SAO VICENTE
2441845,HOSPITAL MUNICIPAL ARISTON SOARES DA ROCHA
2441918,HOSPITAL MUNICIPAL NOSSA SENHORA DA PENHA
2441969,HOSPITAL E MATERNIDADE SAO SEBASTIAO VIANOPOLIS
2441977,HOSPITAL SANTA CASA DO POVO
2442019,HOSPITAL SAGRADO CORACAO DE JESUS NEROPOLIS
2442027,HOSPITAL SAO JOSE PETROLINA DE GOIAS
2442086,HOSPITAL GERAL DE CALDAS NOVAS
2442094,HOSPITAL SAO ZACARIAS LTDA ANAPOLIS
2442108,HOSPITAL EVANGELICO GOIANO SA
2442116,HOSPITAL NOSSA SENHORA APARECIDA ANAPOLISGO
2442124,CASA DE SAUDE NOSSA SENHORA DE LOURDES ANAPOLIS
2442167,HOSPITAL SANTA TERESINHA ANICUNS GO
2442191,HOSPITAL SAO FRANCISCO ITAPACI
2442205,HOSPITAL SAO VICENTE DE PAULO PIRACANJUBA
2442272,HOSPITAL DE OLHOS CAMARGO ZAMBRIN
2442302,HOSPITAL MUNICIPAL SANTO ANTONIO OUVIDOR
2442388,HOSPITAL MUNICIPAL ELBA MARTINS SILVA
2442426,HOSPITAL E MATERNIDADE SAO JORGE
2442450,HOSPITAL MUNICIPAL SAO PIO X
2442477,HOSPITAL MUNICIPAL HENRIQUE ANTONIO SANTILO
2442507,HOSPITAL SANTA MONICA ITAPURANGA
2442531,HOSPITAL SAO PAULO IPAMERI
2442590,HOSPITAL BOM JESUS BOM JESUS DE GOIAS
2442604,HOSPITAL NASR FAIAD
2442612,SANTA CASA DE MISERICORDIA DE CATALAO
2442620,HOSPITAL E MATERNIDADE SAO NICOLAU
2442655,HOSPITAL E MATERNIDADE SANTA MARGARIDA PALMEIRAS DE GOIAS
2442663,HOSPITAL MATERNIDADE NOSSA SENHORA PERPETUO SOCORRO
2442671,HOSPITAL MONTES BELOS SAO LUIS DE MONTES BELOS
2442698,HOSPITAL SAO FRANCISCO ITAPURANGA
2442701,HOSPITAL SAO LUCAS DE INDIARA
2442728,HOSPITAL MUNICIPAL BOM JESUS
2442736,CASA DE SAUDE SANTA LUZIA ANICUNS
2442752,HOSPITAL MUNICIPAL DR JOSE QUARANTA FILHO
2442779,HOSPITAL E MATERNIDADE BELA VISTA LTDA BELA VISTA
2442817,HOSPITAL SANTA MARTA NIQUELANDIAGO
2442841,MORHAN ANAPOLIS
2442930,HOSPITAL E MATERNIDADE SAO LUCAS
2442949,HOSPITAL E MATERNIDADE MOZARLANDIA
2442965,HOSPITAL FAMP SAMARITANO
2443007,HOSPITAL DONA ELISA CAMPOS NIQUELANDIA
2443023,HOSPITAL NOSSA SENHORA DO CARMO
2443031,CASA DE SAUDE SYLVIO DE MELLO
2443120,HOSPITAL CRISTO REDENTOR DE BELA VISTA
2443139,HOSPITAL MUNICIPAL DE ANICUNS
2443163,CLINICA SANTA MARIA IPAMERI
2443171,HOSPITAL EVANGELICO DE IPORA
2443198,HOSPITAL E MATERNIDADE SAO PAULO IPORA
2444259,CLINICA RENASCENCA SA
2444704,HOSPITAL MATERNIDADE MARIA EUNICE DULTRA SOARES
2444798,HOSPITAL GERAL DE AURELINO LEAL
2444828,MATERNIDADE ESTER GOMES
2444895,CASA DE SAUDE SAO JUDAS TADEU
2445085,HOSPITAL NOSSA SENHORA DA BOA FAMILIA
2445182,FUNDACAO SAO JOAO BATISTA
2445204,FUNDACAO HOSPITAL E MATERNIDADE DE ITORORO
2445247,HOSPITAL MUNICIPAL DE ITUACU
2445352,HOSPITAL ANTONIO DA COSTA PINTO DANTAS
2445956,HOSPITAL DOUTORA RITA DE CASSIA
2446030,HOSPITAL E MATERNIDADE SILVIO AVIDOS
2446782,HOSPITAL MATERNIDADE DR ALUIZIO FILGUERAS
2447029,SANTA CASA DE MISERICORDIA DE GUACUI
2447274,HOSPITAL E MATERNIDADE SANTA HELENA
2447320,HOSPITAL JOSE MONTEIRO
2447886,CASA DE CARIDADE SAO JOSE
2447894,HOSPITAL DE JERONIMO MONTEIRO UIJM
2448173,HOSPITAL APOSTOLO PEDRO
2448203,HOSPITAL DE IBATIBA
2448424,CASA DE SAUDE SANTA MARIA
2448521,HOSPITAL SAO JOSE
2448637,SANTA CASA
2448645,HOSPITAL E MATERNIDADE DE PANCAS
2448653,HOSPITAL MUNICIPAL IDA FERREIRA MAGESTE
2448807,HOSPITAL DR FERNANDO SERRA
2448815,HOSPITAL SANTA RITA
2449420,HOSPITAL SANTO ANTONIO
2449439,HOSPITAL MUNICIPAL DR HEBER MARANHAO AZEVEDO
2449552,HOSPITAL CASA DE SAUDE OVIDIA COELHO NOGUEIRA
2449641,HGM HOSPITAL GERAL MUNICIPAL DR MARCOLINO JR
2450143,HOSPITAL SAO JOSE
2450151,HOSPITAL CRISTO REI
2450178,HOSPITAL MUNICIPAL DR ROSY KURY
2450429,HOSPITAL MUNICIPAL PEDRO NEIVA DE SANTANA
2450453,HOSPITAL MUNICIPAL AGOSTINHO DOS SANTOS JACINTHO
2450631,HOSPITAL MUNICIPAL DE IGARAPE DO MEIO
2450755,HOSPITAL SEABRA DE CARVALHO
2451158,HOSPITAL SAO LUCAS
2451425,HOSPITAL MUNICIPAL DE PIO XII
2451565,HOSPITAL MUNICIPAL FELIPE JORGE
2451573,HOSPITAL JORGE OLIVEIRA
2451999,HOSPITAL DR JOSE FIRMINO DE SOUSA
2452014,HOSPITAL E MATERNIDADE DE TIMON
2452162,CASA DE SAUDE E MATERNIDADE SAO JOSE
2452383,MATERNIDADE DE ALTO RISCO DE IMPERATRIZ
2452774,HOSPITAL MUNICIPAL DR NETO GUTERRES
2452782,HOSPITAL REGIONAL ALARICO NUNES PACHECO
2452804,HOSPITAL DO TRABALHADOR BURITIENSE
2452812,HOSPITAL MUNCIPAL BENEDITO MACHADO
2452820,COMPLEXO HOSPITALAR ANTONIO PONTES DE AGUIAR
2452855,HOSPITAL PEDRO CARVALHO DE SOUSA
2452952,HOSPITAL MUNICIPAL GERAL E MATERNIDADE DE PEDREIRAS
2452979,HOSPITAL MUNICIPAL MATERNO INFANTIL MARICOTA CANTANHEDE
2452987,CLINICA NOSSA SENHORA DAS GRACAS
2453126,HOSPITAL MUNICIPAL DE ALTO PARNAIBA
2453142,HOSPITAL MATERNIDADE SAO GERALDO
2453347,UNIDADE MISTA CARLOS MACIEIRA
2453355,HOSPITAL MUNICIPAL DE LAGO VERDE
2453363,HOSPITAL MUNICIPAL ANTONIO TOMAZ
2453614,HOSPITAL DIA
2453665,MATERNIDADE CARMOSINA COUTINHO
2453851,HOSPITAL MUNICIPAL INFANTIL DR JOAO VIANA
2454084,HOSPITAL E MATERNIDADE DOLORES BRAGA WEBA
2454440,POLICLINICA MAE SANTINHA
2454459,HOSPITAL JANDIRA DUAILIBE
2454475,HOSPITAL REGIONAL DR ANTONIO HADADE
2454696,SANTA CASA
2454750,HOSPITAL SAO DOMINGOS
2454904,HOSPITAL GERAL MUNICIPAL
2454947,HOSPITAL MUNICIPAL JESUS DE NAZARE
2455145,HOSPITAL MUNICIPAL DR ADRIAN BERROSPI TRINIDAD
2455463,HOSPITAL MUNICIPAL PEDRO VERA CRUZ BEZERRA
2455625,HOSPITAL SANTA MARTA
2455706,HOSPITAL KALLIL MOISES DA SILVA
2455773,UNIDADE MISTA DO COROADINHO
2455781,CLINICA SAO FRANCISCO
2456613,HOSPITAL ALVORADA
2456672,HMI HOSPITAL MUNICIPAL DE IMPERATRIZ
2456710,HOSPITAL DIA VIDA E LIBERDADE
2456893,HOSPITAL INFANTIL DR JUVENCIO MATOS
2456907,UNIDADE MISTA DE SAO BERNARDO
2456915,UNIDADE MISTA ITAQUI BACANGA
2456958,SANTA CASA
2457121,HOSPITAL MUNICIPAL DE GOVERNADOR NUNES FREIRE
2457156,HOSPITAL REGIONAL DR CELSO ROCHA SANTOS
2457253,UNIDADE MISTA DE SAUDE ENEY TAVARES DE SANTANA
2457326,HOSPITAL MUNICIPAL NOSSA SENHORA DA VITORIA
2457342,HOSPITAL GERAL DE SAUDE LUIZ FERREIRA DE SOUSA
2457512,HOSPITAL MUNICIPAL DR JOSE WILLYS NOGUEIRA
2457555,HOSPITAL MUNICIPAL DA RAPOSA DRA NEMERCIA DIAS PINHEIRO
2457571,HOSPITAL E MATERNIDADE NOSSA SENHORA DA PENHA
2457768,HOSPITAL NINA RODRIGUES
2457776,CENTRO ASSISTENCIAL ELGITHA BRANDAO
2457911,HOSPITAL MUNICIPAL DE JOAO LISBOA
2458055,HOSPITAL MARIA SOCORRO BRANDAO
2458292,HOSPITAL PRESIDENTE VARGAS
2458470,HOSPITAL MUNICIPAL DR THEOPLISTES TEIXEIRA FILHO
2458705,HOSPITAL E MATERNIDADE DE SAO JOSE DE RIBAMAR
2458799,HOSPITAL DA CRIANCA DR ODORICO AMARAL DE MATOS
2458888,HOSPITAL MUNICIPAL SAO JORGE
2459477,HOSPITAL MUNICIPAL PEDRO DOS REIS FERNANDES NETO
2459620,HOSPITAL MUNICIPAL BENITO M SOUSA
2460017,HOSPITAL MUNICIPAL THALLES RIBEIRO GONCALVES
2460254,HOSPITAL VELOSO COSTA
2460262,HOSPITAL REGIONAL LAURA VASCONCELOS
2460335,HOSPITAL MUNICIPAL DE ICATU
2460343,HOSPITAL MUNICIPAL BARJORNAS LOBAO
2460432,HOSPITAL MUNICIPAL JOSE MARIA SANTOS JACINTO
2460564,HOSPITAL MUNICIPAL PEDRO FERREIRA CALADO
2460580,UNIDADE MISTA DE SAUDE OTAVIO LIMA DE ARRUDA
2460726,HOSPITAL SAO SEBASTIAO
2460831,HOSPITAL MUNICIPAL SAO BENTO
2460912,HOSPITAL NOSSA SENHORA DA CONCEICAO
2460963,HOSPITAL MUNICIPAL DE RIACHAO
2461005,HOSPITAL MUNICIPAL DR AFONSO MATOS
2461099,HOSPITAL MUNICIPAL DE JOSELANDIA
2461153,HOSPITAL MUNICIPAL ETIMAR MACHADO
2461234,HOSPITAL MUNICIPAL DR ZERBINE
2461277,HOSPITAL MUNICIPAL DR CARLOS MACIEIRA
2461285,HOSPITAL E MATERNIDADE JOSE SARNEY
2461390,HOSPITAL MUNICIPAL CELSO SIMOES
2461595,CASA DE SAUDE E MATERNIDADE DE ALDEIAS ALTAS LTDA
2461625,HOSPITAL MUNICIPAL MARIA JOSE MACHADO
2461633,UNIDADE MISTA ADAO GOMES
2461641,HOSPITAL NOSSA SENHORA DA ASSUNCAO
2461714,HOSPITAL MUNICIPAL DE CAJARI
2461765,HOSPITAL MUNICIPAL DR LUIS GONZAGA MARTINS
2461838,HOSPITAL MUNICIPAL RAIMUNDO BORBA GALVAO
2461897,HOSPITAL SOFIA JORGE CRUZ
2461900,HOSPITAL MUNICIPAL GOVERNADOR ARCHER
2462095,HOSPITAL MUNICIPAL ELDA RIBEIRO FONSECA
2462184,HOSPITAL MUNICIPAL DE TURIACU
2462192,HOSPITAL MUNICIPAL JOAO ANTONIO SANTOS
2462214,HOSPITAL MUNICIPAL LUCAS VERAS
2462559,HOSPITAL FLORENCIO BRANDES
2462583,HOSPITAL MATERNO INFANTIL
2462591,HOSPITAL ACRISIO FIGUEIRA
2462729,HOSPITAL SANTA NEUSA LTDA
2462753,HOSPITAL SAO FRANCISCO DE ASSIS
2462850,CENTRO DE SAUDE CLARO CRUZ
2463016,HOSPITAL MUNICIPAL DE ACAILANDIA
2463334,HOSPITAL MUNICIPAL CRISTO REI
2463776,INSTITUTO DO COMPORTAMENTO RUY PALHANO
2463784,HOSPITAL REGIONAL DE CARUTAPERA
2463946,HOSPITAL MUNICIPAL DE SAO FELIX DE BALSAS
2463954,HOSPITAL MUNICIPAL DE ARAME
2463989,UNIDADE MISTA SAO JOAO BATISTA
2464101,UNIDADE MISTA SAO CARLOS
2464225,UNIDADE MISTA ONIAS SANTOS PINHEIRO
2464268,HOSPITAL PEDRO CUNHA MENDES
2464276,UNIDADE MISTA DO BEQUIMAO
2464454,HOSPITAL MUNICIPAL EDIR MELO
2464594,HOSPITAL DE REF EST DE ALTA COMPLEXIDADE DR CARLOS MACIEIRA
2465027,HOSPITAL MUNICIPAL RITA FRANSCISCA DOS SANTOS MAE RITA
2465086,UNIDADE MISTA LUSO ROCHA
2465108,HOSPITAL MUNICIPAL DE SAO JOAO DO CARU
2465124,HOSPITAL MENINO JESUS DE PRAGA
2465159,CASA DE SAUDE SANTO ANTONIO
2465469,HOSPITAL SESP DE ZE DOCA
2465655,HOSPITAL MUNICIPAL DR ZECA MOREIRA
2465752,HOSPITAL ESTADUAL DE ATENCAO CLINICA
2465787,HOSPITAL MUNICIPAL DE COBILANDIA
2465825,HOSPITAL GERAL DE LINHARES HGL
2465833,HOSPITAL RIO DOCE
2466562,OFTALMODIAGNOSE HOSPITAL DE OLHOS
2466694,HOSPITAL MUNICIPAL NOSSA SENHORA DA CONCEICAO
2467372,HOSPITAL MUNICIPAL ANTONIO TEXEIRA SOBRINHO
2467402,CENTROMED
2467569,HOSPITAL DE PEQUENO PORTE ANTONIO R DE ARAUJO DUERE
2467631,HOSPITAL MUNICIPAL DE MIRANORTE
2468271,HOSPITAL REGIONAL DE PEDRO AFONSO LEONICIO DE SOUSA MIRANDA
2468840,HOSPITAL DE PEQUENO PORTE SENHORA SANTANA SILVANOPOLIS
2468972,HOSPITAL REGIONAL DE AUGUSTINOPOLIS
2469278,HOSPITAL DE PEQUENO PORTE E MAT TOCANTINS PRESIDENTE KENNEDY
2469340,HOSPITAL MUNICIPAL NOSSA SENHORA DA CONCEICAO
2469367,HOSPITAL DE URGENCIA EMERGENCIA DA FILADELFIA
2469448,HOSPITAL NOSSA SENHORA DO CARMO PIUM
2469499,HOSPITAL DE PEQUENO PORTE DR OSTILIO A ARAUJO DE ARAGUATINS
2469774,CASA DE SAUDE E MATERNIDADE MARIA JOSE DE SOUZA SANTOS
2470020,MATERNIDADE ANA CATARINA
2470098,HOSPITAL GERAL DE ITABERABA
2470152,HOSPITAL REGIONAL DE ITABERABA
2470349,HOSPITAL SAO LUCAS
2470357,DAY HORC
2470667,HOSPITAL DA SAGRADA FAMILIA
2470748,HOSPITAL REGIONAL VICENTINA GOULART
2470837,CLINICA MEDICA SAGRADO CORACAO DE JESUS
2471191,HOSPITAL MUNICIPAL DE CARLINDA ANTONIO MARTINES MARTINES
2471302,HOSPITAL E MATERNIDADE BOM JESUS
2471345,HOSPITAL REGIONAL DE ALTA FLORESTA ALBERT SABIN
2471590,HOSPITAL MUNICIPAL DE APIACAS
2471663,HOSPITAL E MATERNIDADE ALIPIO CANDIDO DA SILVA
2471795,HOSPITAL MUNICIPAL DE BRASNORTE BRASNORTE
2472139,HOSPITAL DAS CLINICAS VIDA E SAUDE
2472147,MATERDEI HOSPITAL
2472244,HOSPITAL MUNICIPAL MEDIO NORTE
2472414,HOSPITAL E MATERNIDADE SANTA ANGELA
2472457,HOSPITAL REGIONAL DE BARRA DO BUGRES ROOSEVELTH F LIRA
2472716,HOSPITAL E MATERNIDADE NOVA OLIMPIA
2472724,HOSPITAL E MATERNIDADE RENATO SUCUPIRA SAPEZAL
2472783,HOSPITAL MUNICIPAL DE COCALINHO
2472791,HOSPITAL MUNICIPAL CRISTO REI
2472945,UNIDADE MISTA DE SAUDE
2473046,HOSPITAL REGIONAL DE AGUA BOA
2473062,HOSPITAL DE OLHOS DE CUIABA
2473372,UNIDADE HOSPITALAR DEP MARCIO MARINHO
2473380,HOSPITAL MATERNIDADE DO DIVINO AMOR
2473577,HOSPITAL REGIONAL ALFREDO MESQUITA
2473666,UNIDADE MISTA DR RICARDO SIMIONE
2473844,HOSPITAL MATERNIDADE ALUISIO ALVES
2474026,UNIDADE INTEGRADA DE SAUDE DE PARAZINHO
2474174,HOSPITAL MUNICIPAL TARGINO SOBRINHO
2474301,HOSPITAL MATERNIDADE DR TEODULO AVELINO
2474328,HOSPITAL MUNICIPAL ANTONIO FERRAZ
2474336,MATERNIDADE JOSE VARELA
2474425,HOSPITAL MUNICIPAL MATERNIDADE DE TAIPU JOAO ENFERMEIRO
2474506,HOSPITAL MANOEL LUCAS DE MIRANDA
2474735,HOSPITAL MATERNIDADE NOEMIA LUCENA
2474751,HOSPITAL REGIONAL DE JOAO CAMARA
2474786,UNIDADE MISTA NELSON S DE FARIAS
2474859,HOSPITAL MATERNIDADE DE ACARI
2474905,HOSPITAL MATERNIDADE DONA TECA
2474964,HOSPITAL REGIONAL DR ODILON GUEDES DA SILVA
2474972,HOSPITAL MATERNIDADE DR ANATOLIO CANDIDO DE MEDEIROS
2475065,UNIDADE MISTA DE JACANA
2475146,UNIDADE MISTA EMILIA M DA SILVA
2475154,HOSPITAL MATERNIDADE SEVERINO TIBURCIO
2475227,HOSPITAL REGIONAL MONSENHOR EXPEDITO SOBRAL DE MEDEIROS
2475278,HOSPITAL E MATERNIDADE CLOTILDE SANTINA
2475375,UNIDADE DE EMERGENCIA DE BAIA FORMOSA
2475464,UNIDADE MISTA DE SAUDE ABILIO CHACON FILHO
2475537,MATERNIDADE DE CRUZETA
2475596,UNIDADE MISTA DE SAUDE SAO VICENTE
2475618,HOSPITAL MATERNIDADE RITA LEONOR DE MEDEIROS
2475847,HOSPITAL MATERNIDADE TEREZINHA LULA DE QUEIROZ SANTOS
2476061,HOSPITAL MATERNIDADE ANA BEZERRA DE ALMEIDA
2476185,MATERNIDADE DR JOSE MEDEIROS ROCHA
2476266,HOSPITAL MATERNIDADE DR RUY MARIZ
2476274,HOSPITAL DR CLOVIS AVELINO
2476355,HOSPITAL MATERNIDADE MAE PAULA
2476398,HOSPITAL MATERNIDADE GARIBALDI ALVES FILHO
2476444,HOSPITAL PADRE JOAO MARIA E MATERNIDADE ANANILIA REGINA
2476487,HOSPITAL DR MARIANO COELHO
2476541,HOSPITAL MARIA CANDIDA DE MEDEIROS MARIZ
2476649,UNIDADE MISTA IRMA AQUILINA
2476703,UNIDADE MISTA SAO JOAO DA BALIZA
2476711,UNIDADE MISTA DE CAROEBE
2476827,HOSPITAL DELIO DE OLIVEIRA TUPINAMBA
2477661,HOSPITAL DR PEDRO GARCIA MORENO
2477947,HOSPITAL DE RIACHUELO
2477955,HOSPITAL DA CRIANCA DR JOSE MACHADO DE SOUZA
2478080,HOSP PUBLICO MUNICIPAL S QUITERIA
2478161,SOS SOCORROS MEDICOS
2478277,HOSPITAL SENADOR OZIRES PONTES
2478293,MATERNIDADE E HOSPITAL DR FRANCISCO ARAUJO
2478307,HOSPITAL MUNICIPAL DE URUOCA RANDEGLACIO GOMES CARNEIRO
2478374,UNID MISTA DE MORAUJO
2478994,HOSP MATERN MAE TOTONHA
2479028,CASA DE SAUDE ADILIA MARIA
2479214,HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES
2479400,HOSP ANA CELESTINO RODRIGUES
2479419,HOSPITAL E MATERNIDADE RITA DO VALE REGO
2479427,HOSPITAL FERNANDO TELES CAMILO
2479478,HOSPITAL MUNICIPAL DR PEDRO DE CASTRO MARINHO
2479710,HOSPITAL E MATERNIDADE JOSE GRANJA RIBEIRO
2479818,HOSP MATERN MENINO JESUS DE PRAGA
2479893,UNIDADE OBSTETRICA DE VARJOTA
2479907,H J M A HOSPITAL JOSE MARTINIANO DE ALENCAR
2480018,HOSPITAL NEUROCENTRO
2480026,HOSPITAL DE SAUDE MENTAL DE MESSEJANA
2480050,MATERNIDADE QUITERIA DE LIMA
2480565,INSTITUTO DE CEGOS DO CEARA
2480638,HOSPITAL DE OLHOS LEIRIA DE ANDRADE
2480646,IMTAVI
2480654,CASA DE SAUDE NOSSA SENHORA DE FATIMA
2481073,HOSPITAL SAO LUCAS
2481286,MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND
2482258,OFTALMOCLINICA
2482339,HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO
2482525,HOSPITAL MUNICIPAL DE LAGUNA CARAPA
2482789,FUNDACAO HOSPITALAR DE SAUDE MUNICIPAL
2482894,HOSPITAL SAO JOAO DE SANTA CRUZ LTDA
2483033,HOSPITAL MUNICIPAL NOSSA SENHORA DE LOURDES
2483041,HOSPITAL EDUARDO GILENO AMADO BRANDAO
2483300,CASA DE SAUDE ANA MEDRADO LUZ
2483408,HOSPITAL E MATERNIDADE JULIA MAIA
2483424,HOSPITAL GERAL DR BENEDITO NEY
2483548,HOSPITAL MUNICIPAL LUIZ EDUARDO MAGALHAES
2483688,HOSPITAL MUNICIPAL SEBASTIAO MARTINS ALVES
2483939,HOSPITAL MUNICIPAL DE CONCEICAO DA BARRA HMCB
2483998,HOSPITAL MATERNIDADE NOSSA SENHORA DE APARECIDA
2484048,CASA NOSSA SENHORA DA SAUDE
2484072,HOSPITAL MATERNIDADE SAO MATEUS
2484269,UMI UNIDADE MISTA DE INTERNACAO
2484366,IESPHOSPITAL DE PINHEIROS
2484617,HOSPITAL E MATERNIDADE NOSSA SENHORA DAS DORES
2484676,FUMATRE
2484919,CASA DE SAUDE E MATERNIDADE FREI GALVAO LTDA
2484943,HOSPITAL SAO MARCOS
2485249,ASSOCIACAO HOSPITALAR RURAL DE BOA ESPERANCA
2485397,HOSPITAL MUNICIPAL DRA ANDREA CANZIAN LOPES
2485680,SANTA CASA DE MISERICORDIA DE CACHOEIRO DE ITAPEMIRIM
2485729,HIFA HOSPITAL MATERNO INFANTIL FRANCISCO DE ASSIS
2485966,HOSPITAL MUNICIPAL MATERNO INFANTIL
2486199,HOSPITAL DOUTOR DORIO SILVA
2486792,HOSPITAL DE PEQUENO PORTE OSVALDO CRUZ ITAGUATINS
2487411,HOSPITAL MATERNIDADE DR JOAO CARLOS MEIRELES PAULILO
2487438,HOSPITAL REGIONAL DANTAS BIAO
2487616,HOSPITAL MUNICIPAL DR ULYSSES CELESTINO DA SILVA
2487756,HOSPITAL SAO VICENTE DE PAULO
2488892,IBR HOSPITAL
2490218,HOSPITAL MUNICIPAL DR AUREO MENDES DA SILVA
2490471,HOSPITAL LUIS GONZAGA DA ROCHA
2490501,UMS DE CRISTINO CASTRO
2490773,HOSPITAL MUNICIPAL ARLINDO BORGES
2490781,HOSP LOCAL DONA LOURDES MOTA
2490935,HOSPITAL FELIX DA COSTA GOMES
2491249,HOSPITAL SANTA CRUZ DE CANOINHAS
2491311,HOSPITAL MUNICIPAL BOM JESUS
2491710,HOSPITAL NOSSA SENHORA DA CONCEICAO
